,Unnamed: 0,player,age,days/week,run_type,km/day,shoes_type,place,mileage,wear_rate_tolerate,hurt_rate
0,0,1,78,4,E,37,Running,street,529,0.31,0.95
1,1,2,52,6,C,11,Running,grassland,297,0.95,0.73
2,2,3,53,2,C,16,Badminton,grassland,181,0.81,0.77
3,3,4,29,0,A,0,Running,Forest,206,0.0,0.0
4,4,5,52,3,C,15,Badminton,park,432,0.92,0.73
5,5,6,16,6,D,28,Basketball,grassland,384,0.4,0.15
6,6,7,25,3,E,31,Badminton,park,405,0.39,0.15
7,7,8,35,2,D,21,Badminton,Forest,107,0.25,0.2
8,8,9,19,0,A,0,Badminton,Forest,121,0.0,0.0
9,9,10,44,3,C,17,Badminton,grassland,154,0.96,0.54
10,10,11,42,0,A,0,Running,playground,447,0.0,0.0
11,11,12,67,3,C,13,Basketball,street,760,0.48,0.83
12,12,13,63,0,A,0,Basketball,grassland,241,0.0,0.0
13,13,14,57,3,C,17,Basketball,grassland,390,0.97,0.66
14,14,15,16,3,E,41,Running,playground,404,0.5,0.14
15,15,16,25,3,B,6,Badminton,street,405,0.56,0.11
16,16,17,57,3,E,40,Badminton,street,435,0.64,0.63
17,17,18,17,0,A,0,Running,Forest,322,0.0,0.0
18,18,19,26,0,A,0,Basketball,grassland,391,0.0,0.0
19,19,20,15,4,E,36,Running,Forest,387,0.36,0.18
20,20,21,60,2,B,4,Basketball,playground,477,0.62,0.65
21,21,22,52,3,B,6,Running,street,735,0.56,0.76
22,22,23,60,3,B,1,Basketball,Forest,223,0.87,0.64
23,23,24,71,5,E,31,Badminton,playground,263,0.69,0.92
24,24,25,41,1,D,22,Basketball,Forest,292,0.48,0.54
25,25,26,27,6,B,9,Basketball,playground,322,0.52,0.06
26,26,27,41,1,D,29,Running,Forest,224,0.23,0.5
27,27,28,51,2,E,36,Basketball,Forest,337,0.64,0.64
28,28,29,74,6,B,2,Running,playground,398,0.38,0.97
29,29,30,73,1,B,4,Running,playground,443,0.93,0.81
30,30,31,68,6,B,1,Badminton,street,351,0.69,0.91
31,31,32,45,0,A,0,Running,street,744,0.0,0.0
32,32,33,32,3,C,18,Badminton,street,359,0.62,0.37
33,33,34,79,1,D,26,Badminton,street,339,0.19,0.84
34,34,35,72,6,B,8,Running,street,625,0.77,0.89
35,35,36,19,5,D,22,Running,Forest,200,0.27,0.05
36,36,37,61,4,D,25,Badminton,park,471,0.4,0.98
37,37,38,28,0,A,0,Badminton,playground,369,0.0,0.0
38,38,39,60,0,A,0,Badminton,street,497,0.0,0.0
39,39,40,20,6,B,5,Running,grassland,292,0.26,0.18
40,40,41,20,4,E,33,Badminton,street,430,0.31,0.08
41,41,42,74,0,A,0,Badminton,park,394,0.0,0.0
42,42,43,73,0,A,0,Basketball,grassland,286,0.0,0.0
43,43,44,28,0,A,0,Running,park,663,0.0,0.0
44,44,45,61,4,E,31,Basketball,park,705,0.14,0.82
45,45,46,76,3,E,39,Badminton,street,301,0.68,0.97
46,46,47,60,2,C,16,Running,playground,418,0.5,0.66
47,47,48,77,6,E,36,Running,playground,301,0.86,1.0
48,48,49,43,3,B,9,Running,street,593,0.29,0.57
49,49,50,18,6,E,40,Badminton,grassland,170,0.14,0.13
50,50,51,77,6,B,7,Basketball,park,707,0.47,0.94
51,51,52,42,4,B,1,Badminton,park,434,0.43,0.52
52,52,53,32,0,A,0,Basketball,Forest,348,0.0,0.0
53,53,54,17,2,D,21,Running,Forest,387,0.55,0.09
54,54,55,59,1,D,25,Basketball,Forest,319,0.2,0.63
55,55,56,62,1,D,23,Badminton,grassland,117,0.75,0.9
56,56,57,73,0,A,0,Basketball,grassland,281,0.0,0.0
57,57,58,63,5,B,1,Badminton,playground,386,0.23,0.9
58,58,59,72,1,E,35,Running,Forest,237,0.28,0.95
59,59,60,37,4,C,13,Running,grassland,276,0.53,0.31
60,60,61,69,4,E,37,Basketball,park,795,0.63,0.87
61,61,62,51,4,B,6,Badminton,playground,328,0.96,0.63
62,62,63,64,2,B,8,Badminton,grassland,162,0.62,0.83
63,63,64,65,4,E,31,Running,grassland,385,0.69,0.81
64,64,65,59,1,B,3,Basketball,street,701,0.78,0.67
65,65,66,53,0,A,0,Running,street,797,0.0,0.0
66,66,67,59,3,C,15,Running,grassland,367,0.71,0.72
67,67,68,70,4,D,24,Running,playground,319,0.58,0.81
