,Unnamed: 0,player,age,days/week,run_type,km/day,shoes_type,place,mileage,wear_rate_tolerate,hurt_rate,sell_amount_rate,sell_price_rate,risk_type,keep_amount
0,0,1,78,4,E,37,Running,street,529,0.31,0.95,0.4,0.96,D,4166
1,1,2,52,6,C,11,Running,grassland,297,0.95,0.73,0.5,0.92,C,2667
2,2,3,53,2,C,16,Badminton,grassland,181,0.81,0.77,0.5,0.93,C,2805
3,3,4,29,0,A,0,Running,Forest,206,0.0,0.0,0.8,1.0,B,2938
4,4,5,52,3,C,15,Badminton,park,432,0.92,0.73,0.9,1.09,A,4261
5,5,6,16,6,D,28,Basketball,grassland,384,0.4,0.15,0.8,0.94,A,3710
6,6,7,25,3,E,31,Badminton,park,405,0.39,0.15,0.8,1.04,B,2804
7,7,8,35,2,D,21,Badminton,Forest,107,0.25,0.2,0.1,1.05,E,2072
8,8,9,19,0,A,0,Badminton,Forest,121,0.0,0.0,0.3,1.04,D,4225
9,9,10,44,3,C,17,Badminton,grassland,154,0.96,0.54,0.6,0.95,B,3265
10,10,11,42,0,A,0,Running,playground,447,0.0,0.0,0.3,0.97,D,4385
11,11,12,67,3,C,13,Basketball,street,760,0.48,0.83,0.1,0.98,E,3816
12,12,13,63,0,A,0,Basketball,grassland,241,0.0,0.0,0.7,0.91,B,3278
13,13,14,57,3,C,17,Basketball,grassland,390,0.97,0.66,0.9,1.0,A,2266
14,14,15,16,3,E,41,Running,playground,404,0.5,0.14,0.5,1.04,C,4428
15,15,16,25,3,B,6,Badminton,street,405,0.56,0.11,0.1,0.92,E,2547
16,16,17,57,3,E,40,Badminton,street,435,0.64,0.63,0.9,1.07,A,2767
17,17,18,17,0,A,0,Running,Forest,322,0.0,0.0,0.5,1.08,C,2905
18,18,19,26,0,A,0,Basketball,grassland,391,0.0,0.0,0.3,0.93,D,3954
19,19,20,15,4,E,36,Running,Forest,387,0.36,0.18,0.4,1.09,C,2244
20,20,21,60,2,B,4,Basketball,playground,477,0.62,0.65,0.4,1.09,C,1527
21,21,22,52,3,B,6,Running,street,735,0.56,0.76,0.2,1.03,E,4217
